StudentNumber,AgeGroup,HoursStudying,Mark,ExamTime
1550,over 45,2-3,51.43281346738419,78.35511894135664
1199,over 45,1-2,66.65738974220005,141.83648199215395
9384,over 45,4-5,82.57204070295512,62.53695906100192
8318,over 45,1-2,70.24771578148756,97.27814149462158
1858,over 45,2-3,34.331496406300914,118.18729533895146
2489,over 45,1-2,38.40917192472097,164.98251928069115
9463,36-45,2-3,45.41684538155196,131.65144266646948
1588,18-25,1-2,81.65640499033364,161.9160882820371
4900,18-25,2-3,66.73570035201533,159.25529554821878
7221,over 45,2-3,60.5029071999422,82.50972192056864
9028,over 45,2-3,47.55115495832073,67.86045902061035
4173,18-25,2-3,86.14723708687997,137.13245415031838
3447,26-35,1-2,59.890309793399844,170.38773679355054
7583,over 45,4-5,38.01312195662889,139.4004476186689
5096,over 45,4-5,72.57829249498565,104.37497912380614
3381,26-35,4-5,86.65031650187973,109.77292860734187
4691,26-35,4-5,57.9355697470104,86.38562724474932
2587,18-25,2-3,66.78679490243637,107.23332050886364
5573,over 45,1-2,66.00043415497038,99.31602678610308
6422,36-45,2-3,88.55848276358435,173.1945199026115
1940,18-25,4-5,77.3930588426314,78.36390622076178
7931,18-25,2-3,96.84667409065085,109.02679881218577
9737,26-35,4-5,76.0468515845966,69.42132564641176
3738,18-25,4-5,82.36951200544365,161.6784690401796
1454,36-45,1-2,80.30284585786015,94.40594029599401
5818,36-45,1-2,62.74837525613164,140.72726066284343
5644,over 45,4-5,90.11271994605545,141.4715676008073
2719,36-45,4-5,46.25880626804185,175.85413410090956
3146,26-35,4-5,58.533283798050284,132.40116972998743
1513,36-45,1-2,78.8006346808319,63.815206929214085
8626,18-25,4-5,89.13420026916006,80.79645573421489
7180,26-35,1-2,81.21260627212416,165.17986129912896
8470,18-25,1-2,84.71587366362661,93.97977006651683
8232,over 45,1-2,67.92243329337943,73.75179500653698
1470,36-45,1-2,52.85677532696121,169.22199228693438
6883,26-35,1-2,85.91353604135648,151.0483700472342
7332,26-35,2-3,88.15732213881978,155.15451180173739
4420,over 45,2-3,57.90954274644046,73.11936560054389
8558,36-45,1-2,40.247665923833814,134.26247652096288
7739,over 45,4-5,68.96790681802612,115.62407437567217
1122,36-45,1-2,68.48290034425432,115.04211371665845
4223,over 45,1-2,57.934122501652276,68.24339419229287
1700,18-25,4-5,78.82739809977068,77.61618496659803
4575,36-45,4-5,63.66129324715121,135.58826598897744
7572,over 45,1-2,30.04419233690826,106.19030631273056
2654,26-35,1-2,80.5286778995195,74.16263908889256
4009,18-25,4-5,72.50378528153725,83.72075629434296
7540,36-45,4-5,49.97386677273761,133.32322668714465
9938,36-45,2-3,84.7097495283113,117.09109432766897
6944,26-35,4-5,53.26008667087012,178.31524039483202
4480,18-25,4-5,75.57669576274242,163.24143208954007
3256,36-45,1-2,70.58927483448566,140.43863834976852
7131,18-25,2-3,78.70858379818537,83.19322841016162
5434,36-45,2-3,50.81029694599414,129.32044398192835
8860,26-35,4-5,65.42209651906461,174.095454185476
7337,36-45,4-5,54.51567944783667,114.73054734674366
9669,36-45,4-5,43.73149823564267,67.9027370423499
2487,36-45,1-2,87.44230660394129,71.5815757617423
4608,36-45,4-5,84.72708551129259,160.52166492711117
4319,18-25,2-3,66.16491909384385,144.57022951621286
